round,TS_MSE_1,TS_MSE_2,TS_MSE_3,TS_MSE_4,TS_MSE_5,TS_MSE_6
1,18377.803020701947,28196.162673438932,3913.632159779931,10766.62667228108,3071.07245004527,18115.775557169705
2,5245.265625,9205.7822265625,1200.5400390625,3719.4892578125,5.4632406237820064e-11,3289.68505859375
3,3061.213623046875,3597.490478515625,1121.46533203125,3560.015380859375,73.23402404785156,2256.50830078125
4,2678.07568359375,3229.052490234375,1018.9765014648438,3570.783203125,60.18241500854492,2055.83642578125
5,1851.451904296875,2666.810302734375,1452.888916015625,2293.763916015625,238.26718139648438,1452.04638671875
6,1890.9979248046875,1858.31103515625,1273.4053955078125,1701.2510986328125,260.9212646484375,1215.3048095703125
7,1545.4935302734375,1764.3194580078125,1225.88916015625,1552.2470703125,178.46922302246094,991.3580932617188
8,1569.8829345703125,1816.285888671875,1219.097412109375,1618.834716796875,177.48048400878906,985.8658447265625
9,1468.796875,1674.1712646484375,1292.98046875,1906.9691162109375,266.068359375,968.07373046875
10,1450.989013671875,1657.1566162109375,1310.3319091796875,1953.8453369140625,265.8455505371094,957.3689575195312
11,1193.2327880859375,1389.5687255859375,1175.4306640625,1852.8736572265625,286.02130126953125,921.3020629882812
12,1187.2724609375,1259.4000244140625,1066.6810302734375,1621.8602294921875,246.52601623535156,796.0714111328125
13,1264.052001953125,1466.677978515625,1183.643310546875,1883.131103515625,306.15557861328125,854.3590087890625
14,1121.01318359375,1273.2000732421875,1138.9149169921875,1606.8609619140625,232.48472595214844,719.984619140625
15,1035.9449462890625,1497.516845703125,1200.005859375,1838.74658203125,276.0738220214844,850.5701904296875
16,1082.7044677734375,1606.4422607421875,1220.3272705078125,2021.0218505859375,315.1783752441406,927.880859375
17,1131.248291015625,1687.8992919921875,1281.3636474609375,2137.2275390625,304.9061279296875,927.4566650390625
18,1162.6982421875,1856.370849609375,1347.97802734375,2169.185546875,326.2795715332031,1035.2294921875
19,1006.7247924804688,1388.2747802734375,1148.23779296875,1512.072021484375,175.128662109375,886.1021118164062
20,1035.0572509765625,1614.7337646484375,1247.0389404296875,1426.4649658203125,181.14578247070312,867.4767456054688
21,1060.943115234375,1470.6278076171875,1180.9259033203125,1433.1876220703125,174.93014526367188,885.482421875
22,1157.85009765625,1396.072998046875,1273.4044189453125,1257.5457763671875,222.60789489746094,823.5191040039062
23,1280.0267333984375,1158.6170654296875,1054.9837646484375,1274.4356689453125,174.63963317871094,939.0693969726562
