round,TS_MSE_1,TS_MSE_2,TS_MSE_3,TS_MSE_4,TS_MSE_5,TS_MSE_6
122,63.561586963274166,110.73772117437474,94.44197368171827,97.83349659772354,1.6320262262423405e-07,34.781499435275656
123,63.92542438332575,69.14389841666888,37.19945787222977,200.4228191150126,1.683900309617736e-07,4.278376018227853
124,61.06430163427769,205.539463078493,113.04578584443601,69.15621411142726,7.046203866684474,75.57178741224298
125,26.77724540207201,109.8869459727756,131.15930659259712,78.46816958115792,1.422174089600756,44.177178064309594
126,50.58334170038972,165.8855403488568,51.819706415288884,82.88349264442444,8.7768375310478,20.702558255365645
127,39.4190144349451,101.11433385168375,42.166756850957846,37.707518683746756,1.404864300057389,89.7761299434143
128,74.15350838615754,180.85465298322129,29.84455455395029,112.07483843166412,1.648149598720077e-07,111.58141608061665
129,20.17983561939306,102.65260139995411,23.016760300174607,58.27277668045634,1.6930682401499704,28.38073942744892
130,31.163528988285893,109.00997441694335,41.329931378699136,50.99856674017314,1.595358852432151,61.96798737652863
131,2.0249035140022706,134.79135857768296,141.73337535300232,62.72732919629708,3.2459685935222238,18.436656768974647
132,25.78934859633936,69.03855548552275,2.2908131117460626,98.04500638394724,1.214693888112002,28.91414728905665
133,10.941841838933831,120.22300303764045,52.567060972790394,51.7739028132028,3.578510835119113,2.0119575462879395
134,33.377578064585116,180.26027003437324,2.0899582970558317,166.25378646590212,2.8604952253574196,56.48859412873212
135,42.94482301357536,89.20936120107463,64.82217958179446,71.83824108288108,1.4090104903323972,4.68737191814488e-07
136,34.612615333196665,161.62238488512378,41.222673601550966,90.29181431197759,1.7901744370930694,4.665977690764144e-07
137,78.98702074760973,172.09364854055417,26.060963852797112,35.923781361627135,9.282299991122546,74.84187451013327
138,26.23035493546273,42.22438668497684,69.50112672252811,126.89271155720873,1.3543494600727177,103.73256466340557
139,191.14426525658723,98.21462460503854,33.32958188504077,81.50472190791406,9.113783940907524,7.015641520553593
140,13.899680532251045,47.97573453510641,59.64831227189319,129.98062335690003,1.7765257493622821,38.30542811421891
141,92.94976764286139,103.02794028212767,15.618012236543672,159.8102758016771,0.003432381428257358,56.078959576116084
142,71.50582307897258,52.91990358734851,62.80398222561888,39.19655928580617,1.7340369450407662,36.44357544516492
143,69.1917311355388,85.57203158294706,53.73274274959722,121.54283016253079,1.8367504983122587,68.93750333590474
144,151.9637141739508,86.17289997570415,82.47768828510715,104.27028163329778,15.346109197696519,33.011193637049665
145,90.70716158489584,108.25896645051182,64.16867123183408,99.45683034738099,3.841130678741939,18.5799339991579
146,41.39915424989149,72.76090003979505,82.00726376754288,171.6102922103216,1.336116938489952,20.562919565740675
147,132.57187185620117,70.23659678068384,7.029373000037501,141.14625663744968,3.357495529052437,11.776003898837386
148,58.333958857865134,10.304205253532302,130.67384254164227,50.76717851326937,1.7783984667245614,7.450972977028007
