round,TS_MSE_1,TS_MSE_2,TS_MSE_3,TS_MSE_4,TS_MSE_5,TS_MSE_6
24,577.1512440479678,81.07832995710515,65.85523914971259,419.5797618674728,407.4982080313181,55.12169611718964
25,587.2970784631867,11.545218774209761,42.979003052075186,380.07879584563756,616.6291077965285,45.69315598226955
26,493.17218057867467,33.42349146452369,53.43759638445343,340.8591302579646,47.04870360330474,57.207906793517715
27,557.1540128912374,9.537850294895579,78.93113661703161,290.2422490637629,528.5904358227614,9.347303385869473
28,592.9018431425595,31.441433546083616,62.318318777027834,197.22480742382845,415.1645181088581,19.064337978532606
29,602.5238427235261,83.87803965064789,73.70416999697898,218.50151188471102,431.07242430164956,93.88089234997095
30,574.2378415662104,33.99848366263174,35.260263498914284,224.7765404540284,601.3089883737536,19.167430753362826
31,134.71979794642766,168.04123397357037,99.95290255612743,418.73208162937584,424.6936842434696,22.188609227639695
32,462.8463224457691,47.77105651446936,31.778498483167617,233.7291239207434,639.7266473418314,87.90771474876277
33,584.1934097222547,24.07904362492533,47.170918907884364,261.49973534255605,309.254875357907,55.0066406800214
34,626.6705189138315,32.172907261599036,86.74515588472805,281.79406501625704,283.49617123822236,79.3676204732592
35,515.0290484189828,72.43487845339001,38.92901498016351,280.55699939636554,461.7507469872929,42.93359319931497
36,271.81701461351383,9.208290975396546,55.259095423582714,304.9816558667672,423.19091455803726,16.910344514315362
37,323.1785107668683,27.451736954019776,28.851040281316028,481.43313443331994,547.8033932566109,38.03490884287768
38,276.44067842264104,89.0024305959895,37.2960712220827,231.7412444711975,325.0275185544229,36.51276355760015
39,254.78280686169853,38.85096190309258,8.917229484735959,140.2783362674853,366.6777813310138,14.114868038512537
40,499.5271127064446,13.595331647875682,32.11074967831313,205.9433051434123,158.04634146989767,92.24673096086967
41,573.4128505773916,37.216825783477084,49.54739692235119,740.8363934193909,369.48865269659944,45.07312394485923
42,295.2078376428736,2.89369778594161,43.98124034187585,407.64644484098585,583.4919608093609,50.44976601014137
43,434.64374394658284,18.367463082255817,51.79846471856103,198.72269113057894,308.1781771909741,55.29882937752005
44,311.8088945150036,39.63113573320734,33.07091530625155,198.7333537619874,341.8132864272708,24.547206801652596
45,243.05120772664472,2.1798078809090153,26.183639504441313,331.7272496791743,303.5653654372262,20.841830669190255
46,347.16859394773894,6.3737754125895165,7.400952465806118,432.7682150089121,303.2042105646322,105.2293096459582
47,277.0072726620882,3.2509143149717112,7.408877601855915,163.59015658757747,505.2048635461122,86.83426396319125
48,330.2664310390067,31.21328673318881,10.277922164606032,328.4421458960319,543.4824612653908,4.971172429924628
49,483.11091744212104,19.878723286847958,7.39275395026277,156.55181340071206,171.47563236689885,8.524819730899305
50,682.5504503998199,34.79125313580969,79.92599851656036,125.12351730672606,163.33317739705936,58.08919268052401
51,379.84043201302666,47.08165667808511,28.00107972076426,131.38100209010744,310.1589344992916,55.823323389158716
52,440.19458365354205,8.269252877114239,30.34803970941567,212.13475421297724,196.3122227909684,28.47266387571981
53,458.5314166046589,16.71607117388208,143.23622767285542,299.33938464230147,207.4052385839642,2.0482845418350424
54,281.36576692416816,36.833013319074155,80.29883121181155,208.9878689292584,411.33821005789963,52.78404620369877
55,529.7795896715871,50.36919241821884,17.675388909130653,162.90137434811012,308.4749388915032,16.131060155681354
56,611.3502962526754,76.18315985721478,35.224735719822036,128.17037842902312,299.02140500752927,2.7362560001519243
57,674.26622482819,83.20204300475923,17.005931821505257,177.2933223194602,410.71568133861217,13.411710909128617
58,386.4486552621565,59.09989730197369,69.73936356938962,303.65016590795085,149.23885035689977,28.643433221475608
59,426.4606287441558,9.196739329844574,45.31732039559848,270.70487170358825,492.3357355218119,3.875311184102172
60,683.1270422041504,1.4011528704847571,1.686625972415105,133.05582378384833,329.9924549666667,31.682074015358964
61,429.1490095820035,7.464948867724181,11.062928943870817,234.11326611943724,161.519725887856,21.611489477804383
62,255.39756985504314,0.8719951598291757,5.623592393734541,180.9964892105423,359.1480589182585,3.5300498337520505
63,242.60766616453023,74.70469854822638,0.8561428532935166,154.61653450029408,185.26098959610874,0.08387828393049732
64,326.52008013830925,13.867088970680594,15.715223611548831,223.21440903325345,405.5568698623037,42.664433534707484
65,459.45471430811165,78.73601458571207,57.248060083582885,229.36472356819203,247.9631431592634,65.52732588112994
66,520.1143527025092,5.233289105972659,5.7125134229390575,283.2398052921537,180.7592630443287,71.00661588995808
67,381.33255305524625,9.827643710399386,55.53234740483624,402.08393847320485,240.43739287584356,40.66143174398727
68,309.20626240757355,0.8369405467218971,2.327436801061448,230.04400002169103,64.21280730380755,24.298250547197007
69,178.56289468896557,88.37727593886557,18.189393945489286,175.11901674283513,163.0849484110257,17.74979230768973
70,294.18615674713686,72.47166216260331,108.85340354859407,150.54468334748438,51.58869912511695,12.959073741811629
71,347.37299135124994,3.169746816934867,136.7266129215307,118.90734422866977,9.927480197589631,29.647271023057908
72,438.32754115967805,72.25157167043093,30.85174644798843,242.80165038284133,227.13584229800696,96.28234871891453
73,345.094918744519,4.955807914490626,169.84066754144337,300.62148790585087,212.3699159969311,53.117399289864835
74,283.2441732151754,18.72380502462965,25.617857451917953,154.7487508911145,211.27142138206452,70.1119033493793
75,583.5659854512667,14.324032862412878,17.292059121333264,104.17099939447678,204.25352198239813,29.73837792966162
76,387.24401704118696,4.821409135735443,59.86730783665277,331.4555308759089,127.53974801297285,21.45411302720177
77,263.57071001302234,5.952797884427872,114.42126379931537,232.3810822673214,161.16469477562242,89.80274696094668
78,392.6368362776213,2.7089417884634344,71.99621490173959,376.10281792034607,136.26008533512575,58.98164484915417
79,338.23834457899414,8.0165569834866,82.68225133666266,153.5846919325946,205.266045698176,28.733552274225794
80,210.50036358809416,4.596998935229236,10.46238130074903,81.20612233142789,23.498836945710263,7.864637186956153
81,379.77497363036207,4.409690377206647,189.54134846593436,209.50009001461783,92.48784392074457,31.234567705126416
82,231.48080071475061,2.903027868297236,20.87262547002037,179.29576041345598,135.91998149420155,24.818588125657197
83,319.77572099445604,104.06666764269272,51.23490508322593,76.19532522138074,77.8115272107257,56.05397499024727
