round,TS_MSE_1,TS_MSE_2,TS_MSE_3,TS_MSE_4,TS_MSE_5,TS_MSE_6
1,0.07638888888888887,0.0,2857.690179821356,109.0955555555556,0.13888888888888887,1.2430555555555556
2,498.6462236457049,0.0,761.3840733565935,3100.0700947582136,16.008651967252074,2069.4087060650836
3,413.30707046341877,1308.9865696712507,633.174339820352,2176.6259101377673,283.5838449579053,1538.0240290968356
4,1608.29749891206,578.6868845800483,342.6227622894406,808.3345687295316,154.3243629947294,744.4581682627646
5,819.4488369581738,690.6372599311995,187.43499904904533,356.78561917483967,87.35180570762905,523.7180250300866
6,718.1443792362023,481.35056583473454,164.5177762523292,300.0508341883117,782.1960710695306,442.87011016359196
7,1074.3349632750396,410.52620337240097,226.07838432180614,223.31837567865657,773.4987612167255,358.1675067746888
8,688.4810466503002,675.2874764674892,175.57564287380055,270.46878050881907,512.6848395313443,295.89374195771865
9,865.579906703232,593.6882094147624,164.443840104834,250.83756478488164,411.5279946973584,389.4019468854428
10,578.7343028907723,502.7157237522402,152.09105054524795,226.1198216900862,700.8123398721325,315.22973447246864
11,598.6525025879231,543.2814506890188,147.81224612993583,197.53698666168356,866.6462523656614,296.60350418584784
12,565.7667777462506,459.89190507941515,406.6148673938584,167.70740131131066,704.4520529579155,267.6532559668463
13,459.2203995638461,356.8149167170653,510.41467751189293,148.1374106882925,496.6697968175632,255.67063451782445
14,415.75299420272296,308.6815557589782,423.2994372031794,385.64894211730103,394.83765209162726,297.072224966793
15,293.7297400951873,191.08826494061393,313.9304724320201,273.25331302498194,322.63152128649995,259.49874488579263
16,883.9843749778256,600.3461732583913,462.42176972166226,520.3604626001409,892.1295592911885,286.50614720770625
17,421.2482553611034,219.26190889193424,385.68656108456867,210.32205384375433,332.9376782039851,232.5369383288467
18,362.70469456988786,252.93597987673246,250.30809706140667,283.75160003153127,350.30415529291463,216.88118284176016
19,179.21374133459886,264.1307579346702,253.75014420815813,328.31445073411254,266.6810619543986,243.70934968767818
20,287.56783370205613,160.77962355301128,398.67367499280533,165.98707171145165,208.30182450954192,213.31063740971769
21,146.11294523331725,205.12977398395572,501.7378221541662,221.35478239905072,209.30475767884565,239.61191406837065
22,169.1784129359767,166.82681888902908,389.87790346785664,164.04624094743704,195.87860192901775,147.43057009182914
23,51.20095875756386,124.7482674266118,299.0210633799475,114.86022360003594,194.31700043465514,264.27709862060823
24,365.51472471081354,277.0127205616047,503.98675669631217,176.50326006090017,626.0629109886997,225.282724614411
25,214.80113835025676,105.37451590511833,278.1603937952186,149.62430703889774,256.4877676282845,179.40911253369543
26,190.58842295286263,96.9286451948529,398.7827740501826,254.1337768489952,177.4478156197357,232.25017148733025
27,303.1371531928888,143.73936703235114,133.00169127871484,319.26665941151316,160.42585024274325,163.58931849742635
28,736.2415752169029,611.7190170954543,201.28973813684547,486.25403355325705,658.5764119784329,216.31274152886374
29,225.16878974702766,307.30403030788585,234.72931517090964,295.4413138954178,169.77796323146754,179.9406635764221
30,173.89088128958767,260.1404510385941,520.190650737725,304.5556395376476,76.98137040841489,301.49611134456
31,117.81504127199898,113.77919042009553,334.8616543447803,234.9173738365138,330.1711694423809,206.3810340754793
32,176.46649177041968,172.27996228374596,245.7722896681831,263.0983248976478,226.105116305085,277.8623845304688
33,450.93759120494883,365.7544739999696,288.0174992767997,197.95709150285026,278.9239750603386,272.3206743674789
34,255.39441946960164,376.8705699477079,267.2021301065908,209.78712565956735,352.0087148639989,300.30644562901676
35,412.5413514441115,201.77167795640673,270.41601824364136,155.7535542694853,227.74069439337225,173.81602987600218
