round,TS_MSE_1,TS_MSE_2,TS_MSE_3,TS_MSE_4,TS_MSE_5,TS_MSE_6
1,1360.201355265472,1061.7869920000003,1304.7802904512,1362.5230977650322,0.0,860.0474635200001
2,76.68117710164675,75.61464667931617,73.88020217242283,105.8386547097832,339.49165711256904,117.55316260512016
3,71.68263641827441,105.9652391754729,50.85390526097621,79.24615905723587,405.3519885287999,145.0351050960892
4,66.0531533884374,98.14797400863031,46.60516091309353,74.00048635647629,392.35941339092807,137.01355929949656
5,59.610910447336295,112.93154935923617,45.53019921341466,70.98806802661923,248.7478042339116,199.3986350928868
6,49.59880824617108,86.00796995219858,40.66898516957251,66.22011314371446,176.5801921174606,225.52312005111804
7,40.578879919857776,64.3323702524882,30.12489133430183,76.15649984079168,149.58203395246534,163.66136423209934
8,152.32565391730463,37.52855033172724,32.658849176755695,37.713131496901376,94.14622890223896,123.45054107859268
9,112.79552185285526,66.89608389379319,25.826102237077578,47.78119517891605,79.55253667931999,153.85047442240017
10,68.67885787014633,45.56824179222864,39.817025558946284,35.20120739503779,84.7782663397141,89.4395871269823
11,40.52275323855096,37.82843691693604,24.498157830792174,48.27850349556401,55.675367458992476,57.28494439439086
12,38.2532361376905,42.427320042807004,19.770230824626182,43.68744617287004,48.1679426722371,60.26638280297904
13,34.29809480824739,48.52960669510936,48.67913303815633,46.51895039444306,43.99373200056637,62.293909150498784
14,35.74814560808321,48.07350423993825,48.12880799179991,39.626149752007976,40.39679629347383,57.59886874281106
15,55.920810045664695,47.84539337354957,49.98717978544789,41.766949204124856,40.96414727883947,61.21818555468823
16,44.45659137544083,43.946914106677674,43.75287035922692,33.753179244650745,29.66451576602153,44.48061010295772
17,36.78809463419585,43.29326171164224,29.52359886166268,32.672018713310614,25.545806212055915,32.611136841365905
18,32.95717736480336,42.43324199959942,40.601812416689384,29.203999204683452,27.9740393816871,33.07644264900837
19,37.67841493223925,48.03881257888161,34.987131238089304,36.14714701337794,26.271944540094793,33.56229442356929
20,33.16180738326884,46.60818775327752,29.515372442201798,38.23981751537095,23.365296822290727,29.27120655471384
21,32.49830174502437,44.6162681720531,29.964831857189594,36.081645617405925,23.02935206022202,31.898348458318914
22,26.658481171224775,50.27749014283524,29.40007791219976,41.452073081916765,20.689384614631646,29.426291799036772
23,27.644461075255442,50.910535539454024,27.739478013704446,42.624801078479585,21.05600572730015,22.34504692538665
24,28.38081847074455,55.78963183588404,30.147379627514884,46.53984159157963,19.488653288117472,22.97961519276044
