round,TS_MSE_1,TS_MSE_2,TS_MSE_3,TS_MSE_4,TS_MSE_5,TS_MSE_6
1,0.5985746820439369,0.3757901107404311,0.5663278792064567,0.35974831606199176,0.02420590797094862,0.0
2,0.5078893505992228,0.05359626109605848,0.1173519934352362,2.230497437575224,0.0009957626215907117,0.4954368813215009
3,2.4301487645798023e-23,2.3070591634268562e-17,6.605069836651007e-16,0.0048304263620232105,6.375763676424706e-19,1.0734588429707682e-17
4,0.009896294864002165,0.0,0.0005819638344652722,1.8793855433911175e-16,0.0,0.0
5,2.0371724557627032e-16,0.0,2.885691688623258e-16,0.005743121585256503,0.0027598551664894805,0.002821413268438988
6,0.0,0.008184924149869995,0.0,9.013924090829288e-17,2.283268232649668e-16,0.0
7,0.0,0.011143636743826513,0.0,0.0,0.0,0.5661335729717921
8,0.0,0.011777027735206523,0.0,0.0,0.0,1.1144433791169783
9,0.0,0.04405569567891657,0.0,0.01164322758158587,0.0073672238666522,7.670178686194625e-16
10,0.0,3.119390930573563e-17,0.013158627003973855,6.223356271283674e-16,2.433807647412142e-15,0.0
11,0.0,0.0,0.01356321046728897,0.0,0.0,0.5448116696982916
12,0.014863872183306467,0.455474339377503,0.014870102640187836,0.0,0.0,0.5486301437786549
13,0.0160578185051905,1.0408894916958138,0.01638686205378267,0.0,0.0,0.5550115390151135
14,0.01755618313883605,1.0461180693829637,0.018364684138381573,0.0,0.0,1.0650903320633642
15,1.6605718231218564e-15,2.3674893213951824e-15,9.248005161699942e-16,0.023148348053726467,0.0009207254583345794,9.24800988844685e-20
16,0.0044486500960668855,0.0,0.0,3.007016869425788e-15,0.011612048967202382,0.0
17,0.03321286040278337,0.010544103857938754,0.006264798405151522,0.0,1.4551915255471922e-15,0.0
18,0.02549283960619042,0.011150589270030112,0.006743948703835609,0.0,0.0,0.5050150625188286
19,0.026976974870262828,0.012023367328015079,0.00743659123698062,0.0,0.0,0.9939430563553707
20,0.030513841919323523,3.2029158382382822e-15,0.008963408667460608,0.0,0.0,1.4479148035747174
21,0.036903565998752975,0.0,0.011528013936971991,0.0,0.0,1.8499324102456947
22,5.918723303487956e-16,0.0,3.1310046374847874e-15,0.001023402392241044,0.01845675691806125,0.0
23,0.04159378807819147,0.037719373972286044,0.0,1.5948131789262232e-15,4.126277760297034e-05,0.029020971598697605
24,0.041326477586993586,0.029763736420956196,0.0353575196375005,0.0372091460324242,3.6625130455897735e-05,0.39145136387609486
25,0.038748704705937366,0.3922260508380968,1.4210854609322932e-16,0.0,0.00012986497836378573,0.3982293670658249
26,0.03632913034790968,0.38913638042057946,2.599986074281373,0.0,0.0002709543102484589,0.3953660824121869
27,0.037831873892933215,0.3950342686972466,2.7016698257492053,0.030139408286263603,0.00012916295108851008,0.8598248796346438
28,0.03986954042853362,0.40232139827142827,2.72543120435131,0.02441290394846209,2.468818263754444e-05,1.0903231002029408
29,2.630367852411321e-18,1.3452253685342537e-14,0.02502253166142299,2.2737367586674837e-15,4.000263833539099e-16,8.313430646966116e-15
30,0.0,0.0,0.006038451009109893,0.03128553508539515,0.03491157693408464,0.0
31,0.009969999124778585,0.0,0.03434809378136112,0.03648873466810897,0.025774721073457515,0.0
32,0.002286137889547628,0.0,4.6638874666454335e-17,0.0022010726134681956,0.03198945022468355,0.0
33,3.139177790663893e-15,0.0,0.04842559190207521,3.27418093248119e-15,7.781864007570403e-15,0.0
34,0.05431115061667846,0.01329221409951404,4.10693709909072e-16,0.0,0.0,0.0
35,8.881784197001252e-16,5.4626525709042595e-15,0.0,0.05468757844702851,0.000283555967389097,0.0
36,0.0,0.0029508269193947428,0.0074388219580639745,2.877698070299279e-15,0.04140276640448582,0.0
37,0.0,0.058645018114249076,5.5377864013297894e-15,0.0,6.644847790458546e-16,0.0
